Entity,Code,Year,"Military expenditure (1914-2007, real prices) (Correlates of War: National Material Capabilities (v4.0))"
Afghanistan,AFG,1931,43444.8
Afghanistan,AFG,1932,40467.76026
Afghanistan,AFG,1935,74249.69406
Afghanistan,AFG,1936,75275.41448
Afghanistan,AFG,1938,68490.73613
Afghanistan,AFG,1950,27717.53164
Afghanistan,AFG,1951,31470.90557
Afghanistan,AFG,1952,36814.94322
Afghanistan,AFG,1953,51834.85752
Afghanistan,AFG,1954,26825.66536
Afghanistan,AFG,1955,34229.59897
Afghanistan,AFG,1956,24500.83654
Afghanistan,AFG,1957,35587.43416
Afghanistan,AFG,1958,30116.25176
Afghanistan,AFG,1959,52596.75
Afghanistan,AFG,1960,66711.30435
Afghanistan,AFG,1961,65734.45161
Afghanistan,AFG,1962,60078.60537
Afghanistan,AFG,1963,66974.15976
Afghanistan,AFG,1964,64834.41263
Afghanistan,AFG,1965,60716.8369
Afghanistan,AFG,1966,71622.87624
Afghanistan,AFG,1967,74201.69176
Afghanistan,AFG,1968,79655.19292
Afghanistan,AFG,1969,79146.45795
Afghanistan,AFG,1970,69956.84116
Afghanistan,AFG,1971,102085.4286
Afghanistan,AFG,1972,105850.5288
Afghanistan,AFG,1973,100730.2961
Afghanistan,AFG,1974,99104.01986
Afghanistan,AFG,1975,105900.7956
Afghanistan,AFG,1976,105016.2509
Afghanistan,AFG,1977,121853.9047
Afghanistan,AFG,1978,129368.7766
Afghanistan,AFG,1979,116669.6143
Afghanistan,AFG,1980,439318.2612
Afghanistan,AFG,1981,550220.8003
Afghanistan,AFG,1982,519455.6196
Afghanistan,AFG,1983,454075.1574
Afghanistan,AFG,1984,310068.8747
Afghanistan,AFG,1985,409965.0314
Afghanistan,AFG,1990,527373.0717
Afghanistan,AFG,1995,217445.5656
Afghanistan,AFG,1996,222074.5763
Afghanistan,AFG,1997,219395.0776
Afghanistan,AFG,1998,264797.7428
Afghanistan,AFG,1999,255682.5278
Afghanistan,AFG,2000,250000
Afghanistan,AFG,2001,239558.806
Afghanistan,AFG,2004,111183.6849
Afghanistan,AFG,2005,103263.833
Afghanistan,AFG,2006,103647.2946
Afghanistan,AFG,2007,128715.5332
Albania,ALB,1914,22107.64123
Albania,ALB,1915,20788.45354
Albania,ALB,1916,18276.56704
Albania,ALB,1917,14532.46093
Albania,ALB,1918,12295.43732
Albania,ALB,1919,11832.87192
Albania,ALB,1920,10179.9975
Albania,ALB,1921,11531.77539
Albania,ALB,1922,11948.99586
